| Run on Mon Aug 25 15:07:05 2025
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-845"
|Ligand mask:                    ":846"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 101 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   2552.04         42.75      42.75         4.25       4.25
ANGLE                  6655.51         59.96      59.96         5.97       5.97
DIHED                  8825.30         37.77      37.77         3.76       3.76
VDWAALS               -7162.30         36.26      36.26         3.61       3.61
EEL                  -55006.10        142.57     142.57        14.19      14.19
1-4 VDW                3057.20         23.75      23.75         2.36       2.36
1-4 EEL               32810.05         82.00      82.00         8.16       8.16
EGB                  -10599.79        112.49     112.49        11.19      11.19
ESURF                   236.97          2.94       2.94         0.29       0.29

GGAS                  -8268.29        189.15     138.28        18.82      13.76
GSOLV                -10362.82        112.53     111.11        11.20      11.06

TOTAL                -18631.11        220.09      88.20        21.90       8.78

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   2537.12         42.19      42.19         4.20       4.20
ANGLE                  6622.50         59.60      59.60         5.93       5.93
DIHED                  8742.27         37.48      37.48         3.73       3.73
VDWAALS               -7121.33         35.68      35.68         3.55       3.55
EEL                  -54978.72        139.14     139.14        13.84      13.84
1-4 VDW                3037.43         23.51      23.51         2.34       2.34
1-4 EEL               32900.48         82.05      82.05         8.16       8.16
EGB                  -10601.96        110.68     110.68        11.01      11.01
ESURF                   237.12          2.97       2.97         0.30       0.30

GGAS                  -8260.25        186.16     136.66        18.52      13.60
GSOLV                -10364.85        110.72     109.44        11.02      10.89

TOTAL                -18625.09        216.60      87.41        21.55       8.70

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     14.92          2.81       2.81         0.28       0.28
ANGLE                    33.01          4.25       4.25         0.42       0.42
DIHED                    83.03          2.91       2.91         0.29       0.29
VDWAALS                  -5.66          1.71       1.71         0.17       0.17
EEL                      16.44          6.23       6.23         0.62       0.62
1-4 VDW                  19.77          1.44       1.44         0.14       0.14
1-4 EEL                 -90.44          3.40       3.40         0.34       0.34
EGB                     -51.81          2.75       2.75         0.27       0.27
ESURF                     4.88          0.09       0.09         0.01       0.01

GGAS                     71.08          9.48       7.22         0.94       0.72
GSOLV                   -46.93          2.75       2.74         0.27       0.27

TOTAL                    24.15          9.87       5.78         0.98       0.57

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          2.25       0.00         0.22       0.00
ΔANGLE                    0.00          3.89       0.00         0.39       0.00
ΔDIHED                    0.00          2.63       0.00         0.26       0.00
ΔVDWAALS                -35.31          1.12      10.99         0.11       1.09
ΔEEL                    -43.82          2.79      14.76         0.28       1.47
Δ1-4 VDW                 -0.00          1.20       0.00         0.12       0.00
Δ1-4 EEL                 -0.00          3.35       0.00         0.33       0.00
ΔEGB                     53.99          0.94      16.87         0.09       1.68
ΔESURF                   -5.03          0.06       1.51         0.01       0.15

ΔGGAS                   -79.13          3.01      24.21         0.30       2.41
ΔGSOLV                   48.96          0.94      15.47         0.09       1.54

ΔTOTAL                  -30.17          3.16       9.48         0.31       0.94
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
