| Run on Mon Aug 25 14:06:22 2025
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-495"
|Ligand mask:                    ":496"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 101 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1539.33         34.61      34.61         3.44       3.44
ANGLE                  3819.34         46.35      46.35         4.61       4.61
DIHED                  4981.54         27.09      27.09         2.70       2.70
VDWAALS               -4228.12         29.53      29.53         2.94       2.94
EEL                  -35936.81        109.46     109.46        10.89      10.89
1-4 VDW                1798.54         17.50      17.50         1.74       1.74
1-4 EEL               18764.28         66.80      66.80         6.65       6.65
EGB                   -4094.55         94.15      94.15         9.37       9.37
ESURF                   127.83          2.27       2.27         0.23       0.23

GGAS                  -9261.91        147.31     122.78        14.66      12.22
GSOLV                 -3966.72         94.17      92.98         9.37       9.25

TOTAL                -13228.63        174.84      73.23        17.40       7.29

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1523.63         34.33      34.33         3.42       3.42
ANGLE                  3786.02         46.48      46.48         4.62       4.62
DIHED                  4902.56         27.05      27.05         2.69       2.69
VDWAALS               -4189.29         28.56      28.56         2.84       2.84
EEL                  -35925.43        108.49     108.49        10.80      10.80
1-4 VDW                1778.67         17.55      17.55         1.75       1.75
1-4 EEL               18879.64         66.31      66.31         6.60       6.60
EGB                   -4093.81         93.53      93.53         9.31       9.31
ESURF                   127.51          2.17       2.17         0.22       0.22

GGAS                  -9244.18        146.15     121.34        14.54      12.07
GSOLV                 -3966.30         93.56      92.44         9.31       9.20

TOTAL                -13210.48        173.53      72.77        17.27       7.24

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     15.70          3.39       3.39         0.34       0.34
ANGLE                    33.32          4.43       4.43         0.44       0.44
DIHED                    78.98          2.83       2.83         0.28       0.28
VDWAALS                  -5.37          1.89       1.89         0.19       0.19
EEL                      17.70          8.74       8.74         0.87       0.87
1-4 VDW                  19.87          1.59       1.59         0.16       0.16
1-4 EEL                -115.37          3.04       3.04         0.30       0.30
EGB                     -43.73          4.65       4.65         0.46       0.46
ESURF                     4.94          0.06       0.06         0.01       0.01

GGAS                     44.83         11.44       9.26         1.14       0.92
GSOLV                   -38.79          4.65       4.63         0.46       0.46

TOTAL                     6.04         12.35       6.36         1.23       0.63

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          3.11       0.00         0.31       0.00
ΔANGLE                   -0.00          4.31       0.00         0.43       0.00
ΔDIHED                    0.00          2.79       0.00         0.28       0.00
ΔVDWAALS                -33.47          0.93       3.74         0.09       0.37
ΔEEL                    -29.08          7.77       5.64         0.77       0.56
Δ1-4 VDW                  0.00          1.54       0.00         0.15       0.00
Δ1-4 EEL                 -0.00          2.55       0.00         0.25       0.00
ΔEGB                     42.99          4.04       4.70         0.40       0.47
ΔESURF                   -4.62          0.04       0.41         0.00       0.04

ΔGGAS                   -62.55          7.82       6.99         0.78       0.70
ΔGSOLV                   38.37          4.04       4.53         0.40       0.45

ΔTOTAL                  -24.18          8.80       3.86         0.88       0.38
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
