| Run on Mon Aug 25 15:32:34 2025
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-495"
|Ligand mask:                    ":496"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 101 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1536.40         33.42      33.42         3.33       3.33
ANGLE                  3805.78         47.12      47.12         4.69       4.69
DIHED                  4897.79         30.93      30.93         3.08       3.08
VDWAALS               -4179.38         27.81      27.81         2.77       2.77
EEL                  -35701.13        125.25     125.25        12.46      12.46
1-4 VDW                1789.26         18.05      18.05         1.80       1.80
1-4 EEL               18716.40         58.11      58.11         5.78       5.78
EGB                   -4227.81         96.37      96.37         9.59       9.59
ESURF                   132.12          2.59       2.59         0.26       0.26

GGAS                  -9134.88        156.38     129.58        15.56      12.89
GSOLV                 -4095.69         96.40      95.37         9.59       9.49

TOTAL                -13230.57        183.71      64.20        18.28       6.39

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1528.29         33.32      33.32         3.32       3.32
ANGLE                  3796.05         47.20      47.20         4.70       4.70
DIHED                  4882.17         30.56      30.56         3.04       3.04
VDWAALS               -4157.04         27.17      27.17         2.70       2.70
EEL                  -35742.15        125.07     125.07        12.44      12.44
1-4 VDW                1778.21         18.09      18.09         1.80       1.80
1-4 EEL               18860.39         57.77      57.77         5.75       5.75
EGB                   -4223.26         96.10      96.10         9.56       9.56
ESURF                   132.10          2.46       2.46         0.24       0.24

GGAS                  -9054.08        155.94     129.19        15.52      12.85
GSOLV                 -4091.16         96.13      95.13         9.57       9.47

TOTAL                -13145.24        183.19      63.67        18.23       6.34

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      8.11          2.17       2.17         0.22       0.22
ANGLE                     9.73          2.15       2.15         0.21       0.21
DIHED                    15.62          2.76       2.76         0.27       0.27
VDWAALS                   1.49          1.54       1.54         0.15       0.15
EEL                      46.15          4.15       4.15         0.41       0.41
1-4 VDW                  11.05          0.98       0.98         0.10       0.10
1-4 EEL                -143.99          2.74       2.74         0.27       0.27
EGB                     -24.92          2.62       2.62         0.26       0.26
ESURF                     2.86          0.01       0.01         0.00       0.00

GGAS                    -51.85          6.71       5.87         0.67       0.58
GSOLV                   -22.07          2.62       2.61         0.26       0.26

TOTAL                   -73.91          7.20       4.30         0.72       0.43

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          2.07       0.00         0.21       0.00
ΔANGLE                   -0.00          2.07       0.00         0.21       0.00
ΔDIHED                    0.00          2.39       0.00         0.24       0.00
ΔVDWAALS                -23.83          0.90       2.60         0.09       0.26
ΔEEL                     -5.13          3.97       5.67         0.39       0.56
Δ1-4 VDW                 -0.00          0.93       0.00         0.09       0.00
Δ1-4 EEL                  0.00          2.40       0.00         0.24       0.00
ΔEGB                     20.37          2.35       4.05         0.23       0.40
ΔESURF                   -2.83          0.12       0.38         0.01       0.04

ΔGGAS                   -28.96          4.07       5.17         0.40       0.51
ΔGSOLV                   17.54          2.35       4.02         0.23       0.40

ΔTOTAL                  -11.42          4.70       2.67         0.47       0.27
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
